Team,Wins,Draws,Losses,Matches,Win%,Draw%,Loss%,Home Win%,Away Win%,Def 3rd,Att 3rd,PrgP,Poss,Play_Style,Struggle_Against
Man City,138,26,26,190,72.63,13.68,13.68,77.89,67.37,173.0,94.0,1847.0,61.7,Balanced,Low Block
Paris SG,123,28,24,175,70.29,16.0,13.71,71.59,68.97,242.0,111.0,2123.0,68.0,High Press,Low Block
Bayern Munich,118,26,26,170,69.41,15.29,15.29,75.29,63.53,166.0,107.0,2138.0,67.9,Balanced,Low Block
Real Madrid,130,40,20,190,68.42,21.05,10.53,73.68,63.16,287.0,81.0,1904.0,60.4,Low Block,Low Block
Inter,129,36,25,190,67.89,18.95,13.16,73.68,62.11,214.0,88.0,1698.0,59.7,Balanced,Balanced
Barcelona,124,35,31,190,65.26,18.42,16.32,72.63,57.89,176.0,107.0,2178.0,68.1,Balanced,Low Block
Liverpool,123,40,27,190,64.74,21.05,14.21,74.74,54.74,266.0,101.0,1845.0,57.4,Low Block,Low Block
Dortmund,103,27,40,170,60.59,15.88,23.53,69.41,51.76,232.0,95.0,1563.0,58.9,Balanced,Balanced
Ath Madrid,112,44,34,190,58.95,23.16,17.89,71.58,46.32,297.0,73.0,1506.0,52.5,Low Block,Low Block
Milan,111,43,36,190,58.42,22.63,18.95,56.84,60.0,243.0,76.0,1543.0,53.8,Balanced,Balanced
Juventus,110,44,36,190,57.89,23.16,18.95,67.37,48.42,263.0,86.0,1529.0,57.2,Low Block,Balanced
Arsenal,108,35,47,190,56.84,18.42,24.74,63.16,50.53,218.0,121.0,1764.0,56.8,High Press,Low Block
Napoli,107,40,43,190,56.32,21.05,22.63,55.79,56.84,232.0,58.0,1507.0,54.3,Balanced,Balanced
Leverkusen,94,37,39,170,55.29,21.76,22.94,57.65,52.94,153.0,79.0,1692.0,59.2,Balanced,Balanced
RB Leipzig,93,41,36,170,54.71,24.12,21.18,62.35,47.06,248.0,73.0,1353.0,52.2,Balanced,Balanced
Lazio,103,36,51,190,54.21,18.95,26.84,61.05,47.37,228.0,62.0,1525.0,54.6,Balanced,Balanced
Atalanta,102,42,46,190,53.68,22.11,24.21,53.68,53.68,231.0,71.0,1773.0,55.3,Balanced,Balanced
Monaco,94,37,45,176,53.41,21.02,25.57,57.95,48.86,281.0,102.0,1638.0,55.0,Low Block,Low Block
Man United,96,45,49,190,50.53,23.68,25.79,56.84,44.21,385.0,113.0,1379.0,53.2,"High Press, Low Block",Low Block
Marseille,88,46,42,176,50.0,26.14,23.86,53.41,46.59,244.0,79.0,1714.0,63.3,Balanced,Low Block
Girona,38,16,22,76,50.0,21.05,28.95,65.79,34.21,260.0,79.0,1659.0,56.6,Low Block,Low Block
Lille,88,49,39,176,50.0,27.84,22.16,58.43,41.38,241.0,112.0,1616.0,57.6,High Press,Low Block
Tottenham,94,36,60,190,49.47,18.95,31.58,63.16,35.79,276.0,104.0,1582.0,55.2,Low Block,Low Block
Roma,93,43,54,190,48.95,22.63,28.42,58.95,38.95,228.0,79.0,1458.0,53.9,Balanced,Balanced
Lens,71,41,36,148,47.97,27.7,24.32,56.76,39.19,264.0,109.0,1451.0,54.1,Low Block,Low Block
Lyon,84,41,51,176,47.73,23.3,28.98,50.57,44.94,257.0,89.0,1615.0,56.4,Low Block,High Press
Rennes,84,36,56,176,47.73,20.45,31.82,61.36,34.09,282.0,80.0,1440.0,50.9,Low Block,Low Block
Chelsea,89,47,54,190,46.84,24.74,28.42,48.42,45.26,237.0,97.0,1573.0,57.3,Balanced,Low Block
Sociedad,87,50,53,190,45.79,26.32,27.89,49.47,42.11,293.0,95.0,1320.0,54.2,Low Block,Low Block
Sevilla,84,55,51,190,44.21,28.95,26.84,51.58,36.84,315.0,84.0,1134.0,50.5,Low Block,Low Block
Nice,76,45,55,176,43.18,25.57,31.25,46.07,40.23,297.0,94.0,1320.0,47.5,Low Block,Low Block
Villarreal,82,48,60,190,43.16,25.26,31.58,48.42,37.89,331.0,78.0,1477.0,47.5,Low Block,Low Block
Betis,77,53,60,190,40.53,27.89,31.58,49.47,31.58,265.0,98.0,1440.0,52.5,Low Block,Low Block
Leicester,61,31,60,152,40.13,20.39,39.47,46.05,34.21,353.0,86.0,1068.0,45.6,Low Block,Low Block
Freiburg,68,45,57,170,40.0,26.47,33.53,45.88,34.12,225.0,64.0,1129.0,48.7,Balanced,Balanced
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,290.0,90.0,1326.0,51.0,Low Block,Low Block
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,290.0,90.0,1326.0,43.6,Low Block,Low Block
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,290.0,90.0,875.0,51.0,Low Block,Low Block
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,290.0,90.0,875.0,43.6,Low Block,Low Block
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,292.0,75.0,1326.0,51.0,Low Block,Low Block
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,292.0,75.0,1326.0,43.6,Low Block,Low Block
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,292.0,75.0,875.0,51.0,Low Block,Low Block
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,292.0,75.0,875.0,43.6,Low Block,Low Block
Union Berlin,67,42,61,170,39.41,24.71,35.88,51.76,27.06,266.0,48.0,1049.0,40.0,Low Block,Balanced
Newcastle,73,50,67,190,38.42,26.32,35.26,45.26,31.58,272.0,91.0,1541.0,50.9,Low Block,Low Block
Wolfsburg,65,43,62,170,38.24,25.29,36.47,38.82,37.65,257.0,59.0,1205.0,46.1,Low Block,Balanced
Fiorentina,72,51,67,190,37.89,26.84,35.26,45.26,30.53,262.0,69.0,1196.0,50.0,Low Block,Balanced
Ath Bilbao,71,58,61,190,37.37,30.53,32.11,49.47,25.26,236.0,82.0,1552.0,49.1,Balanced,Low Block
Ein Frankfurt,63,55,52,170,37.06,32.35,30.59,44.71,29.41,267.0,80.0,1347.0,49.7,Low Block,Balanced
