Team,Wins,Draws,Losses,Matches,Win%,Draw%,Loss%,Home Win%,Away Win%,Def 3rd,Att 3rd,PrgP,Poss,Play_Style,Struggle_Against,Play_Style_Label
Lyon,84,41,51,176,47.73,23.3,28.98,50.57,44.94,257.0,89.0,1615.0,56.4,Low Block,High Press,3
Rennes,84,36,56,176,47.73,20.45,31.82,61.36,34.09,282.0,80.0,1440.0,50.9,Low Block,Low Block,3
Chelsea,89,47,54,190,46.84,24.74,28.42,48.42,45.26,237.0,97.0,1573.0,57.3,Balanced,Low Block,0
Sociedad,87,50,53,190,45.79,26.32,27.89,49.47,42.11,293.0,95.0,1320.0,54.2,Low Block,Low Block,3
Sevilla,84,55,51,190,44.21,28.95,26.84,51.58,36.84,315.0,84.0,1134.0,50.5,Low Block,Low Block,3
Nice,76,45,55,176,43.18,25.57,31.25,46.07,40.23,297.0,94.0,1320.0,47.5,Low Block,Low Block,3
Villarreal,82,48,60,190,43.16,25.26,31.58,48.42,37.89,331.0,78.0,1477.0,47.5,Low Block,Low Block,3
Betis,77,53,60,190,40.53,27.89,31.58,49.47,31.58,271.0,101.0,1487.0,52.4,Low Block,Low Block,3
Leicester,61,31,60,152,40.13,20.39,39.47,46.05,34.21,353.0,86.0,1068.0,45.6,Low Block,Low Block,3
Freiburg,68,45,57,170,40.0,26.47,33.53,45.88,34.12,225.0,64.0,1129.0,48.7,Balanced,Balanced,0
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,290.0,90.0,1326.0,51.0,Low Block,Low Block,3
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,290.0,90.0,1326.0,43.6,Low Block,Low Block,3
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,290.0,90.0,875.0,51.0,Low Block,Low Block,3
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,290.0,90.0,875.0,43.6,Low Block,Low Block,3
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,292.0,75.0,1326.0,51.0,Low Block,Low Block,3
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,292.0,75.0,1326.0,43.6,Low Block,Low Block,3
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,292.0,75.0,875.0,51.0,Low Block,Low Block,3
Aston Villa,76,36,78,190,40.0,18.95,41.05,46.32,33.68,292.0,75.0,875.0,43.6,Low Block,Low Block,3
Union Berlin,67,42,61,170,39.41,24.71,35.88,51.76,27.06,266.0,48.0,1049.0,40.0,Low Block,Balanced,3
Newcastle,73,50,67,190,38.42,26.32,35.26,45.26,31.58,272.0,91.0,1541.0,50.9,Low Block,Low Block,3
